task,codec,downscale,quality,bpp,metric,step
detection,surrogate,0,1,0.08115658356864,0.708970175334921,0
detection,surrogate,0,2,0.13143299796599894,0.7296829432455977,0
detection,surrogate,0,3,0.18826874992884696,0.7599491278916216,0
detection,surrogate,0,4,0.27720300376340745,0.7679141762507572,0
detection,vtm,0,47,0.0378195177641759,0.5753308447239657,0
detection,vtm,0,42,0.0783266715540673,0.6836118953834575,0
detection,vtm,0,37,0.1546231926222231,0.7420190579006408,0
detection,vvenc,0,50,0.0402524366809368,0.55475653256607,0
detection,vvenc,0,45,0.0822088099669544,0.6890329877486355,0
detection,vvenc,0,40,0.1588471806808038,0.7447081850488645,0
detection,vvenc-similar,0,50,0.0382782742193342,0.5576524225116642,0
detection,vvenc-similar,0,45,0.0791521970321298,0.6828823231985114,0
detection,vvenc-similar,0,40,0.1559898865345011,0.7450108027831787,0
